AccessionNo,NameinCTRATE
train_1,train_17051_a
train_2,not in CT-RATE
train_3,not in CT-RATE
train_4,train_10602_a
train_5,not in CT-RATE
train_6,train_9102_a
train_7,not in CT-RATE
train_8,not in CT-RATE
train_9,not in CT-RATE
train_10,not in CT-RATE
train_11,train_17163_a
train_12,not in CT-RATE
train_13,train_14333_a
train_14,train_5297_a
train_15,not in CT-RATE
train_16,train_19934_a
train_17,not in CT-RATE
train_18,not in CT-RATE
train_19,train_7237_a
train_20,train_4354_a
train_21,not in CT-RATE
train_22,train_14429_a
train_23,not in CT-RATE
train_24,train_17087_a
train_25,train_6335_a
train_26,train_2158_d
train_27,train_15576_a
train_28,train_13751_a
train_29,train_17278_a
train_30,train_19320_a
train_31,not in CT-RATE
train_32,valid_1049_a
train_33,train_3450_a
train_34,not in CT-RATE
train_35,train_19152_b
train_36,train_16603_a
train_37,train_5156_a
train_38,train_5206_f
train_39,not in CT-RATE
train_40,train_3712_b
train_41,train_13417_b
train_42,not in CT-RATE
train_43,train_19683_a
train_44,train_2306_a
train_45,not in CT-RATE
train_46,train_8198_b
train_47,train_19818_a
train_48,train_19631_a
train_49,train_3961_a
train_50,train_16347_a
train_51,train_14202_a
train_52,train_11446_a
train_53,not in CT-RATE
train_54,train_18766_a
train_55,train_6351_a
train_56,train_12476_b
train_57,not in CT-RATE
train_58,train_767_a
train_59,train_17470_a
train_60,train_18336_a
train_61,not in CT-RATE
train_62,not in CT-RATE
train_63,train_18224_d
train_64,not in CT-RATE
train_65,train_16061_a
train_66,not in CT-RATE
train_67,train_1288_a
train_68,not in CT-RATE
train_69,train_618_a
train_70,train_8090_a
train_71,not in CT-RATE
train_72,train_12445_a
train_73,train_11135_a
train_74,train_1285_a
train_75,train_14898_a
train_76,train_4549_a
train_77,not in CT-RATE
train_78,train_9898_a
train_79,not in CT-RATE
train_80,train_5079_a
train_81,train_6931_a
train_82,train_2055_a
train_83,not in CT-RATE
train_84,not in CT-RATE
train_85,not in CT-RATE
train_86,not in CT-RATE
train_87,train_16118_a
train_88,train_10160_a
train_89,not in CT-RATE
train_90,not in CT-RATE
train_91,train_17854_a
train_92,not in CT-RATE
train_93,train_9965_a
train_94,train_4406_a
train_95,train_9665_a
train_96,train_6871_a
train_97,valid_128_a
train_98,train_9089_a
train_99,valid_249_a
train_100,not in CT-RATE
train_101,train_8935_a
train_102,not in CT-RATE
train_103,train_11009_a
train_104,train_9171_a
train_105,train_17308_a
train_106,not in CT-RATE
train_107,train_17851_a
train_108,train_13778_a
train_109,train_6401_a
train_110,train_1448_e
train_111,not in CT-RATE
train_112,train_2111_a
train_113,train_10059_a
train_114,valid_507_a
train_115,train_6119_a
train_116,train_17663_a
train_117,not in CT-RATE
train_118,train_16052_a
train_119,train_7395_a
train_120,not in CT-RATE
train_121,not in CT-RATE
train_122,not in CT-RATE
train_123,train_4641_a
train_124,train_12299_a
train_125,not in CT-RATE
train_126,train_6618_d
train_127,not in CT-RATE
train_128,train_6708_a
train_129,not in CT-RATE
train_130,not in CT-RATE
train_131,train_976_a
train_132,train_5289_a
train_133,valid_906_b
train_134,train_19038_b
train_135,valid_852_a
train_136,train_8815_a
train_137,train_5193_d
train_138,train_11136_a
train_139,train_15885_a
train_140,train_15038_a
train_141,train_5230_a
train_142,not in CT-RATE
train_143,train_16382_b
train_144,valid_1118_a
train_145,train_2248_a
train_146,train_1708_a
train_147,train_15717_a
train_148,train_1509_a
train_149,train_13908_a
train_150,not in CT-RATE
train_151,not in CT-RATE
train_152,not in CT-RATE
train_153,train_15808_a
train_154,train_5442_a
train_155,train_14367_c
train_156,not in CT-RATE
train_157,train_19168_a
train_158,train_3776_a
train_159,not in CT-RATE
train_160,not in CT-RATE
train_161,train_14319_a
train_162,train_44_a
train_163,train_13035_a
train_164,train_6363_a
train_165,not in CT-RATE
train_166,train_3112_d
train_167,not in CT-RATE
train_168,not in CT-RATE
train_169,train_12120_a
train_170,train_10698_a
train_171,train_16319_a
train_172,train_4586_a
train_173,not in CT-RATE
train_174,train_17380_a
train_175,train_17294_b
train_176,train_18321_a
train_177,valid_471_a
train_178,train_11189_a
train_179,train_7016_a
train_180,not in CT-RATE
train_181,train_18062_b
train_182,not in CT-RATE
train_183,not in CT-RATE
train_184,not in CT-RATE
train_185,not in CT-RATE
train_186,not in CT-RATE
train_187,not in CT-RATE
train_188,train_12346_a
train_189,train_13704_a
train_190,train_4995_a
train_191,train_16835_a
train_192,train_18263_a
train_193,train_4011_a
train_194,train_3669_a
train_195,train_8532_a
train_196,train_10242_a
train_197,train_10125_a
train_198,not in CT-RATE
train_199,train_662_a
train_200,train_8635_a
train_201,not in CT-RATE
train_202,train_10731_a
train_203,train_4821_a
train_204,train_8775_a
train_205,not in CT-RATE
train_206,not in CT-RATE
train_207,train_9194_a
train_208,not in CT-RATE
train_209,train_7845_a
train_210,train_5804_a
train_211,train_3826_a
train_212,train_15132_a
train_213,valid_123_a
train_214,train_17376_a
train_215,not in CT-RATE
train_216,not in CT-RATE
train_217,train_13307_a
train_218,train_2969_a
train_219,train_8543_a
train_220,train_15507_a
train_221,not in CT-RATE
train_222,valid_1022_a
train_223,train_17881_a
train_224,train_16164_a
train_225,train_6937_a
train_226,not in CT-RATE
train_227,train_6272_a
train_228,valid_124_a
train_229,not in CT-RATE
train_230,train_16893_a
train_231,train_3435_a
train_232,train_14738_a
train_233,train_12637_a
train_234,train_13964_a
train_235,train_15334_a
train_236,train_1300_a
train_237,train_16331_a
train_238,train_11738_a
train_239,train_1742_e
train_240,not in CT-RATE
train_241,train_5132_a
train_242,train_1386_a
train_243,train_19553_b
train_244,not in CT-RATE
train_245,train_5657_a
train_246,not in CT-RATE
train_247,train_19157_c
train_248,train_10411_a
train_249,train_3749_a
train_250,not in CT-RATE
train_251,train_6663_a
train_252,train_2706_a
train_253,not in CT-RATE
train_254,train_2995_a
train_255,train_7620_a
train_256,train_4405_a
train_257,train_9076_a
train_258,train_17063_a
train_259,train_7827_a
train_260,not in CT-RATE
train_261,train_5646_a
train_262,valid_211_a
train_263,train_18512_a
train_264,train_8405_a
train_265,train_15658_b
train_266,not in CT-RATE
train_267,train_16555_a
train_268,train_364_a
train_269,train_18100_a
train_270,train_17767_a
train_271,train_17735_a
train_272,not in CT-RATE
train_273,not in CT-RATE
train_274,train_5634_a
train_275,train_6964_a
train_276,not in CT-RATE
train_277,not in CT-RATE
train_278,train_17378_a
train_279,train_1979_a
train_280,train_3940_b
train_281,not in CT-RATE
train_282,train_16498_a
train_283,train_475_a
train_284,train_3833_a
train_285,train_19434_a
train_286,valid_645_c
train_287,train_3142_a
train_288,train_1316_a
train_289,valid_945_b
train_290,train_19122_a
train_291,train_10088_a
train_292,train_8227_a
train_293,train_3823_b
train_294,train_7684_a
train_295,valid_277_e
train_296,train_13543_a
train_297,train_10906_a
train_298,not in CT-RATE
train_299,not in CT-RATE
train_300,train_188_a
train_301,train_316_a
train_302,train_12705_a
train_303,train_9601_a
train_304,train_18763_a
train_305,not in CT-RATE
train_306,not in CT-RATE
train_307,train_10156_a
train_308,train_5993_a
train_309,train_7384_a
train_310,train_3293_a
train_311,train_19604_a
train_312,train_6630_a
train_313,train_3050_a
train_314,train_13582_b
train_315,train_10560_a
train_316,train_12778_a
train_317,not in CT-RATE
train_318,train_12919_a
train_319,train_8922_a
train_320,train_8480_a
train_321,train_19747_a
train_322,train_890_a
train_323,train_5130_b
train_324,train_9141_a
train_325,train_8114_a
train_326,not in CT-RATE
train_327,not in CT-RATE
train_328,not in CT-RATE
train_329,train_15912_a
train_330,train_8914_a
train_331,train_1812_a
train_332,train_6213_a
train_333,train_11756_a
train_334,train_14968_b
train_335,not in CT-RATE
train_336,train_16529_a
train_337,not in CT-RATE
train_338,not in CT-RATE
train_339,not in CT-RATE
train_340,not in CT-RATE
train_341,not in CT-RATE
train_342,not in CT-RATE
train_343,not in CT-RATE
train_344,train_12166_a
train_345,train_12557_a
train_346,valid_1019_a
train_347,train_17427_a
train_348,train_11578_a
train_349,train_9741_a
train_350,not in CT-RATE
train_351,train_4109_a
train_352,train_13924_a
train_353,not in CT-RATE
train_354,train_8534_a
train_355,train_6077_a
train_356,train_17355_a
train_357,train_11621_a
train_358,not in CT-RATE
train_359,train_5380_b
train_360,train_9153_a
train_361,train_18167_a
train_362,not in CT-RATE
train_363,train_18480_a
train_364,train_9675_a
train_365,valid_695_a
train_366,train_8657_a
train_367,not in CT-RATE
train_368,not in CT-RATE
train_369,train_154_a
train_370,train_6579_a
train_371,not in CT-RATE
train_372,not in CT-RATE
train_373,train_10056_a
train_374,valid_374_a
train_375,train_10079_a
train_376,train_2874_a
train_377,not in CT-RATE
train_378,train_4967_a
train_379,train_3021_a
train_380,train_2757_a
train_381,not in CT-RATE
train_382,train_16637_a
train_383,not in CT-RATE
train_384,not in CT-RATE
train_385,train_3543_a
train_386,train_6441_a
train_387,train_16089_a
train_388,not in CT-RATE
train_389,train_10422_a
train_390,not in CT-RATE
train_391,train_9523_a
train_392,train_673_a
train_393,train_13787_a
train_394,train_6728_a
train_395,not in CT-RATE
train_396,not in CT-RATE
train_397,train_7584_b
train_398,not in CT-RATE
train_399,train_365_a
train_400,train_9436_a
train_401,train_3311_b
train_402,not in CT-RATE
train_403,not in CT-RATE
train_404,train_7409_a
train_405,train_9737_a
train_406,not in CT-RATE
train_407,not in CT-RATE
train_408,train_18373_i
train_409,not in CT-RATE
train_410,train_6949_a
train_411,valid_482_h
train_412,not in CT-RATE
train_413,not in CT-RATE
train_414,not in CT-RATE
train_415,not in CT-RATE
train_416,not in CT-RATE
train_417,train_414_a
train_418,train_11347_a
train_419,valid_904_a
train_420,train_17716_a
train_421,valid_31_a
train_422,not in CT-RATE
train_423,train_19663_a
train_424,not in CT-RATE
train_425,train_9379_a
train_426,train_8892_a
train_427,train_17608_a
train_428,train_13355_a
train_429,not in CT-RATE
train_430,train_18631_a
train_431,not in CT-RATE
train_432,train_13818_a
train_433,not in CT-RATE
train_434,not in CT-RATE
train_435,train_2279_a
train_436,not in CT-RATE
train_437,train_19891_a
train_438,train_5139_a
train_439,train_6552_a
train_440,train_1462_a
train_441,train_5609_a
train_442,not in CT-RATE
train_443,train_16985_a
train_444,train_19989_a
train_445,train_13471_a
train_446,train_801_a
train_447,not in CT-RATE
train_448,train_10902_b
train_449,not in CT-RATE
train_450,not in CT-RATE
train_451,train_9557_a
train_452,not in CT-RATE
train_453,not in CT-RATE
train_454,train_17528_a
train_455,not in CT-RATE
train_456,train_3592_a
train_457,train_3118_a
train_458,train_6404_b
train_459,not in CT-RATE
train_460,not in CT-RATE
train_461,train_18195_a
train_462,train_15278_a
train_463,train_13158_a
train_464,not in CT-RATE
train_465,train_15688_c
train_466,not in CT-RATE
train_467,train_16447_a
train_468,train_3963_f
train_469,valid_154_a
train_470,train_6262_b
train_471,train_17126_b
train_472,train_4739_a
train_473,train_639_a
train_474,train_13416_a
train_475,train_8047_a
train_476,train_17230_a
train_477,not in CT-RATE
train_478,train_19163_a
train_479,not in CT-RATE
train_480,not in CT-RATE
train_481,train_17960_a
train_482,not in CT-RATE
train_483,not in CT-RATE
train_484,train_4180_a
train_485,not in CT-RATE
train_486,train_1232_a
train_487,train_990_a
train_488,train_694_a
train_489,not in CT-RATE
train_490,train_13699_a
train_491,train_18089_a
train_492,train_9120_a
train_493,train_18040_a
train_494,not in CT-RATE
train_495,not in CT-RATE
train_496,not in CT-RATE
train_497,train_7958_a
train_498,train_18175_a
train_499,train_1077_a
train_500,not in CT-RATE
train_501,not in CT-RATE
train_502,train_15765_a
train_503,not in CT-RATE
train_504,train_3729_a
train_505,not in CT-RATE
train_506,train_8581_a
train_507,train_12843_a
train_508,train_8355_b
train_509,not in CT-RATE
train_510,not in CT-RATE
train_511,train_3122_a
train_512,train_1184_b
train_513,train_18704_a
train_514,train_1538_a
train_515,train_7119_a
train_516,train_14784_a
train_517,train_6488_b
train_518,train_9004_a
train_519,train_6901_a
train_520,not in CT-RATE
train_521,not in CT-RATE
train_522,not in CT-RATE
train_523,train_11045_b
train_524,not in CT-RATE
train_525,train_6074_a
train_526,train_10239_a
train_527,train_6604_f
train_528,train_1356_a
train_529,not in CT-RATE
train_530,train_4727_a
train_531,not in CT-RATE
train_532,train_14025_a
train_533,train_7128_a
train_534,not in CT-RATE
train_535,valid_218_a
train_536,not in CT-RATE
train_537,not in CT-RATE
train_538,train_17570_a
train_539,train_14192_c
train_540,train_4611_a
train_541,train_17577_a
train_542,not in CT-RATE
train_543,train_18492_a
train_544,not in CT-RATE
train_545,not in CT-RATE
train_546,train_2560_b
train_547,train_15528_a
train_548,train_17693_a
train_549,not in CT-RATE
train_550,train_18923_b
train_551,train_4021_a
train_552,train_11431_a
train_553,not in CT-RATE
train_554,train_2466_a
train_555,not in CT-RATE
train_556,train_4799_a
train_557,not in CT-RATE
train_558,train_14654_b
train_559,train_8065_n
train_560,not in CT-RATE
train_561,not in CT-RATE
train_562,not in CT-RATE
train_563,not in CT-RATE
train_564,train_4621_a
train_565,train_1587_a
train_566,train_6987_a
train_567,valid_740_a
train_568,train_7533_b
train_569,not in CT-RATE
train_570,not in CT-RATE
train_571,train_10667_a
train_572,train_10728_a
train_573,not in CT-RATE
train_574,train_7055_a
train_575,train_15106_a
train_576,train_11431_c
train_577,train_5080_a
train_578,train_12194_a
train_579,not in CT-RATE
train_580,not in CT-RATE
train_581,not in CT-RATE
train_582,train_13990_a
train_583,not in CT-RATE
train_584,train_1746_a
train_585,valid_255_a
train_586,not in CT-RATE
train_587,not in CT-RATE
train_588,not in CT-RATE
train_589,train_18328_a
train_590,valid_242_a
train_591,train_12070_c
train_592,train_2461_a
train_593,train_6840_c
train_594,train_5596_b
train_595,not in CT-RATE
train_596,train_1992_a
train_597,train_10969_a
train_598,not in CT-RATE
train_599,train_12678_b
train_600,train_1414_a
train_601,train_1670_a
train_602,train_5394_a
train_603,train_17941_a
train_604,train_17126_d
train_605,train_518_i
train_606,not in CT-RATE
train_607,train_9087_a
train_608,train_5521_a
train_609,train_3897_b
train_610,train_19723_a
train_611,train_10448_a
train_612,not in CT-RATE
train_613,not in CT-RATE
train_614,train_5571_a
train_615,valid_581_a
train_616,not in CT-RATE
train_617,valid_79_a
train_618,not in CT-RATE
train_619,not in CT-RATE
train_620,train_9196_a
train_621,not in CT-RATE
train_622,not in CT-RATE
train_623,train_13574_a
train_624,not in CT-RATE
train_625,train_9761_a
train_626,train_6567_b
train_627,train_13552_a
train_628,not in CT-RATE
train_629,valid_757_a
train_630,not in CT-RATE
train_631,train_5424_a
train_632,train_6060_a
train_633,not in CT-RATE
train_634,not in CT-RATE
train_635,train_14906_a
train_636,not in CT-RATE
train_637,train_8400_a
train_638,not in CT-RATE
train_639,train_6102_a
train_640,train_9165_b
train_641,train_12640_a
train_642,train_12685_a
train_643,not in CT-RATE
train_644,train_7424_a
train_645,train_2258_a
train_646,train_19912_a
train_647,train_1659_a
train_648,train_15480_a
train_649,train_7964_a
train_650,train_653_a
train_651,train_16307_a
train_652,not in CT-RATE
train_653,train_6021_a
train_654,train_8387_a
train_655,train_17475_a
train_656,train_2511_a
train_657,not in CT-RATE
train_658,not in CT-RATE
train_659,train_15353_a
train_660,train_5249_a
train_661,train_760_a
train_662,train_17656_a
train_663,train_18353_a
train_664,not in CT-RATE
train_665,train_11045_a
train_666,train_11988_a
train_667,train_1424_a
train_668,not in CT-RATE
train_669,train_17507_c
train_670,train_18703_a
train_671,valid_439_a
train_672,train_359_b
train_673,not in CT-RATE
train_674,not in CT-RATE
train_675,train_18666_a
train_676,not in CT-RATE
train_677,not in CT-RATE
train_678,train_15957_a
train_679,train_13146_a
train_680,not in CT-RATE
train_681,train_6902_d
train_682,train_537_a
train_683,train_11193_a
train_684,not in CT-RATE
train_685,train_12656_a
train_686,not in CT-RATE
train_687,train_5623_a
train_688,not in CT-RATE
train_689,not in CT-RATE
train_690,train_6245_a
train_691,not in CT-RATE
train_692,not in CT-RATE
train_693,train_14231_a
train_694,train_1541_a
train_695,not in CT-RATE
train_696,not in CT-RATE
train_697,train_10914_a
train_698,train_18982_a
train_699,train_5698_a
train_700,train_18945_a
train_701,train_13697_a
train_702,not in CT-RATE
train_703,not in CT-RATE
train_704,train_4377_b
train_705,valid_647_a
train_706,train_4826_a
train_707,train_16604_a
train_708,not in CT-RATE
train_709,train_4372_a
train_710,train_17559_a
train_711,train_19038_a
train_712,train_16628_a
train_713,train_18788_a
train_714,train_5936_a
train_715,train_9050_a
train_716,train_331_a
train_717,train_4149_a
train_718,not in CT-RATE
train_719,train_18457_a
train_720,not in CT-RATE
train_721,not in CT-RATE
train_722,train_5756_a
train_723,train_16527_a
train_724,train_10316_a
train_725,train_6679_a
train_726,train_11172_a
train_727,train_8153_a
train_728,train_3715_b
train_729,train_6781_a
train_730,not in CT-RATE
train_731,train_6332_a
train_732,train_1522_a
train_733,train_19768_a
train_734,not in CT-RATE
train_735,train_17726_a
train_736,train_3589_a
train_737,train_18525_a
train_738,train_11794_a
train_739,not in CT-RATE
train_740,valid_277_d
train_741,train_14744_a
train_742,train_17294_a
train_743,train_6076_a
train_744,train_7273_a
train_745,train_277_a
train_746,train_16263_a
train_747,train_5548_b
train_748,train_15858_a
train_749,not in CT-RATE
train_750,train_9698_a
train_751,train_3290_a
train_752,train_10005_a
train_753,not in CT-RATE
train_754,not in CT-RATE
train_755,train_6255_a
train_756,train_7682_a
train_757,train_13447_a
train_758,train_15751_a
train_759,train_8398_b
train_760,train_12220_a
train_761,train_5525_a
train_762,train_8111_a
train_763,train_8985_a
train_764,not in CT-RATE
train_765,train_6209_a
train_766,train_6950_a
train_767,train_13585_a
train_768,train_2126_a
train_769,not in CT-RATE
train_770,not in CT-RATE
train_771,valid_107_b
train_772,not in CT-RATE
train_773,train_15404_a
train_774,not in CT-RATE
train_775,train_10551_a
train_776,train_12968_a
train_777,train_4464_a
train_778,train_13099_c
train_779,train_8279_a
train_780,train_6777_a
train_781,not in CT-RATE
train_782,train_3693_a
train_783,train_4246_a
train_784,train_16113_a
train_785,train_2445_a
train_786,train_16572_d
train_787,train_4459_a
train_788,train_1018_a
train_789,not in CT-RATE
train_790,train_4603_a
train_791,not in CT-RATE
train_792,train_451_a
train_793,train_2765_a
train_794,not in CT-RATE
train_795,train_11594_a
train_796,train_18130_i
train_797,not in CT-RATE
train_798,not in CT-RATE
train_799,train_2821_a
train_800,train_2282_a
